240
1.3,0,0|0,-1,0|0,0|
1.45,0,0|0,-1,0|0,1|
1.27159,0,0.270285|0,-1,0|0.0333333,0|
1.41831,0,0.301472|0,-1,0|0.0333333,1|
1.3,0,0|0,1,0|0,0|
1.27159,0,0.270285|0,1,0|0.0333333,0|
1.45,0,0|0,1,0|0,1|
1.41831,0,0.301472|0,1,0|0.0333333,1|
1.27159,0,0.270285|0,-1,0|0.0333333,0|
1.41831,0,0.301472|0,-1,0|0.0333333,1|
1.18761,0,0.528757|0,-1,0|0.0666667,0|
1.32464,0,0.589768|0,-1,0|0.0666667,1|
1.27159,0,0.270285|0,1,0|0.0333333,0|
1.18761,0,0.528757|0,1,0|0.0666667,0|
1.41831,0,0.301472|0,1,0|0.0333333,1|
1.32464,0,0.589768|0,1,0|0.0666667,1|
1.18761,0,0.528757|0,-1,0|0.0666667,0|
1.32464,0,0.589768|0,-1,0|0.0666667,1|
1.05172,0,0.76412|0,-1,0|0.1,0|
1.17308,0,0.852288|0,-1,0|0.1,1|
1.18761,0,0.528757|0,1,0|0.0666667,0|
1.05172,0,0.76412|0,1,0|0.1,0|
1.32464,0,0.589768|0,1,0|0.0666667,1|
1.17308,0,0.852288|0,1,0|0.1,1|
1.05172,0,0.76412|0,-1,0|0.1,0|
1.17308,0,0.852288|0,-1,0|0.1,1|
0.86987,0,0.966088|0,-1,0|0.133333,0|
0.97024,0,1.07756|0,-1,0|0.133333,1|
1.05172,0,0.76412|0,1,0|0.1,0|
0.86987,0,0.966088|0,1,0|0.133333,0|
1.17308,0,0.852288|0,1,0|0.1,1|
0.97024,0,1.07756|0,1,0|0.133333,1|
0.86987,0,0.966088|0,-1,0|0.133333,0|
0.97024,0,1.07756|0,-1,0|0.133333,1|
0.650001,0,1.12583|0,-1,0|0.166667,0|
0.725001,0,1.25574|0,-1,0|0.166667,1|
0.86987,0,0.966088|0,1,0|0.133333,0|
0.650001,0,1.12583|0,1,0|0.166667,0|
0.97024,0,1.07756|0,1,0|0.133333,1|
0.725001,0,1.25574|0,1,0|0.166667,1|
0.650001,0,1.12583|0,-1,0|0.166667,0|
0.725001,0,1.25574|0,-1,0|0.166667,1|
0.401723,0,1.23637|0,-1,0|0.2,0|
0.448076,0,1.37903|0,-1,0|0.2,1|
0.650001,0,1.12583|0,1,0|0.166667,0|
0.401723,0,1.23637|0,1,0|0.2,0|
0.725001,0,1.25574|0,1,0|0.166667,1|
0.448076,0,1.37903|0,1,0|0.2,1|
0.401723,0,1.23637|0,-1,0|0.2,0|
0.448076,0,1.37903|0,-1,0|0.2,1|
0.135888,0,1.29288|0,-1,0|0.233333,0|
0.151568,0,1.44206|0,-1,0|0.233333,1|
0.401723,0,1.23637|0,1,0|0.2,0|
0.135888,0,1.29288|0,1,0|0.233333,0|
0.448076,0,1.37903|0,1,0|0.2,1|
0.151568,0,1.44206|0,1,0|0.233333,1|
0.135888,0,1.29288|0,-1,0|0.233333,0|
0.151568,0,1.44206|0,-1,0|0.233333,1|
-0.135885,0,1.29288|0,-1,0|0.266667,0|
-0.151564,0,1.44206|0,-1,0|0.266667,1|
0.135888,0,1.29288|0,1,0|0.233333,0|
-0.135885,0,1.29288|0,1,0|0.266667,0|
0.151568,0,1.44206|0,1,0|0.233333,1|
-0.151564,0,1.44206|0,1,0|0.266667,1|
-0.135885,0,1.29288|0,-1,0|0.266667,0|
-0.151564,0,1.44206|0,-1,0|0.266667,1|
-0.40172,0,1.23637|0,-1,0|0.3,0|
-0.448072,0,1.37903|0,-1,0|0.3,1|
-0.135885,0,1.29288|0,1,0|0.266667,0|
-0.40172,0,1.23637|0,1,0|0.3,0|
-0.151564,0,1.44206|0,1,0|0.266667,1|
-0.448072,0,1.37903|0,1,0|0.3,1|
-0.40172,0,1.23637|0,-1,0|0.3,0|
-0.448072,0,1.37903|0,-1,0|0.3,1|
-0.649998,0,1.12583|0,-1,0|0.333333,0|
-0.724998,0,1.25574|0,-1,0|0.333333,1|
-0.40172,0,1.23637|0,1,0|0.3,0|
-0.649998,0,1.12583|0,1,0|0.333333,0|
-0.448072,0,1.37903|0,1,0|0.3,1|
-0.724998,0,1.25574|0,1,0|0.333333,1|
-0.649998,0,1.12583|0,-1,0|0.333333,0|
-0.724998,0,1.25574|0,-1,0|0.333333,1|
-0.869868,0,0.96609|0,-1,0|0.366667,0|
-0.970237,0,1.07756|0,-1,0|0.366667,1|
-0.649998,0,1.12583|0,1,0|0.333333,0|
-0.869868,0,0.96609|0,1,0|0.366667,0|
-0.724998,0,1.25574|0,1,0|0.333333,1|
-0.970237,0,1.07756|0,1,0|0.366667,1|
-0.869868,0,0.96609|0,-1,0|0.366667,0|
-0.970237,0,1.07756|0,-1,0|0.366667,1|
-1.05172,0,0.764123|0,-1,0|0.4,0|
-1.17307,0,0.852291|0,-1,0|0.4,1|
-0.869868,0,0.96609|0,1,0|0.366667,0|
-1.05172,0,0.764123|0,1,0|0.4,0|
-0.970237,0,1.07756|0,1,0|0.366667,1|
-1.17307,0,0.852291|0,1,0|0.4,1|
-1.05172,0,0.764123|0,-1,0|0.4,0|
-1.17307,0,0.852291|0,-1,0|0.4,1|
-1.18761,0,0.52876|0,-1,0|0.433333,0|
-1.32464,0,0.589771|0,-1,0|0.433333,1|
-1.05172,0,0.764123|0,1,0|0.4,0|
-1.18761,0,0.52876|0,1,0|0.433333,0|
-1.17307,0,0.852291|0,1,0|0.4,1|
-1.32464,0,0.589771|0,1,0|0.433333,1|
-1.18761,0,0.52876|0,-1,0|0.433333,0|
-1.32464,0,0.589771|0,-1,0|0.433333,1|
-1.27159,0,0.270288|0,-1,0|0.466667,0|
-1.41831,0,0.301475|0,-1,0|0.466667,1|
-1.18761,0,0.52876|0,1,0|0.433333,0|
-1.27159,0,0.270288|0,1,0|0.466667,0|
-1.32464,0,0.589771|0,1,0|0.433333,1|
-1.41831,0,0.301475|0,1,0|0.466667,1|
-1.27159,0,0.270288|0,-1,0|0.466667,0|
-1.41831,0,0.301475|0,-1,0|0.466667,1|
-1.3,0,3.29574e-006|0,-1,0|0.5,0|
-1.45,0,3.67601e-006|0,-1,0|0.5,1|
-1.27159,0,0.270288|0,1,0|0.466667,0|
-1.3,0,3.29574e-006|0,1,0|0.5,0|
-1.41831,0,0.301475|0,1,0|0.466667,1|
-1.45,0,3.67601e-006|0,1,0|0.5,1|
-1.3,0,3.29574e-006|0,-1,0|0.5,0|
-1.45,0,3.67601e-006|0,-1,0|0.5,1|
-1.27159,0,-0.270282|0,-1,0|0.533333,0|
-1.41831,0,-0.301468|0,-1,0|0.533333,1|
-1.3,0,3.29574e-006|0,1,0|0.5,0|
-1.27159,0,-0.270282|0,1,0|0.533333,0|
-1.45,0,3.67601e-006|0,1,0|0.5,1|
-1.41831,0,-0.301468|0,1,0|0.533333,1|
-1.27159,0,-0.270282|0,-1,0|0.533333,0|
-1.41831,0,-0.301468|0,-1,0|0.533333,1|
-1.18761,0,-0.528754|0,-1,0|0.566667,0|
-1.32464,0,-0.589764|0,-1,0|0.566667,1|
-1.27159,0,-0.270282|0,1,0|0.533333,0|
-1.18761,0,-0.528754|0,1,0|0.566667,0|
-1.41831,0,-0.301468|0,1,0|0.533333,1|
-1.32464,0,-0.589764|0,1,0|0.566667,1|
-1.18761,0,-0.528754|0,-1,0|0.566667,0|
-1.32464,0,-0.589764|0,-1,0|0.566667,1|
-1.05172,0,-0.764117|0,-1,0|0.6,0|
-1.17308,0,-0.852285|0,-1,0|0.6,1|
-1.18761,0,-0.528754|0,1,0|0.566667,0|
-1.05172,0,-0.764117|0,1,0|0.6,0|
-1.32464,0,-0.589764|0,1,0|0.566667,1|
-1.17308,0,-0.852285|0,1,0|0.6,1|
-1.05172,0,-0.764117|0,-1,0|0.6,0|
-1.17308,0,-0.852285|0,-1,0|0.6,1|
