0,0.25,0;0,0.25,0.5;0.0313953,0.25,0.499013|1|0|0
0,0.25,0.5;0,-0.25,0.5;0.0313953,0.25,0.499013|0|1|0
0.0313953,0.25,0.499013;0,-0.25,0.5;0.0313953,-0.25,0.499013|0|1|0
0,-0.25,0;0.0313953,-0.25,0.499013;0,-0.25,0.5|1|0|0
0,0.25,0;0.0313953,0.25,0.499013;0.0626666,0.25,0.496057|1|0|0
0.0313953,0.25,0.499013;0.0313953,-0.25,0.499013;0.0626666,0.25,0.496057|0|1|0
0.0626666,0.25,0.496057;0.0313953,-0.25,0.499013;0.0626666,-0.25,0.496057|0|1|0
0,-0.25,0;0.0626666,-0.25,0.496057;0.0313953,-0.25,0.499013|1|0|0
0,0.25,0;0.0626666,0.25,0.496057;0.0936907,0.25,0.491144|1|0|0
0.0626666,0.25,0.496057;0.0626666,-0.25,0.496057;0.0936907,0.25,0.491144|0|1|0
0.0936907,0.25,0.491144;0.0626666,-0.25,0.496057;0.0936907,-0.25,0.491144|0|1|0
0,-0.25,0;0.0936907,-0.25,0.491144;0.0626666,-0.25,0.496057|1|0|0
0,0.25,0;0.0936907,0.25,0.491144;0.124345,0.25,0.484292|1|0|0
0.0936907,0.25,0.491144;0.0936907,-0.25,0.491144;0.124345,0.25,0.484292|0|1|0
0.124345,0.25,0.484292;0.0936907,-0.25,0.491144;0.124345,-0.25,0.484292|0|1|0
0,-0.25,0;0.124345,-0.25,0.484292;0.0936907,-0.25,0.491144|1|0|0
0,0.25,0;0.124345,0.25,0.484292;0.154509,0.25,0.475528|1|0|0
0.124345,0.25,0.484292;0.124345,-0.25,0.484292;0.154509,0.25,0.475528|0|1|0
0.154509,0.25,0.475528;0.124345,-0.25,0.484292;0.154509,-0.25,0.475528|0|1|0
0,-0.25,0;0.154509,-0.25,0.475528;0.124345,-0.25,0.484292|1|0|0
0,0.25,0;0.154509,0.25,0.475528;0.184062,0.25,0.464888|1|0|0
0.154509,0.25,0.475528;0.154509,-0.25,0.475528;0.184062,0.25,0.464888|0|1|0
0.184062,0.25,0.464888;0.154509,-0.25,0.475528;0.184062,-0.25,0.464888|0|1|0
0,-0.25,0;0.184062,-0.25,0.464888;0.154509,-0.25,0.475528|1|0|0
0,0.25,0;0.184062,0.25,0.464888;0.21289,0.25,0.452414|1|0|0
0.184062,0.25,0.464888;0.184062,-0.25,0.464888;0.21289,0.25,0.452414|0|1|0
0.21289,0.25,0.452414;0.184062,-0.25,0.464888;0.21289,-0.25,0.452414|0|1|0
0,-0.25,0;0.21289,-0.25,0.452414;0.184062,-0.25,0.464888|1|0|0
0,0.25,0;0.21289,0.25,0.452414;0.240877,0.25,0.438153|1|0|0
0.21289,0.25,0.452414;0.21289,-0.25,0.452414;0.240877,0.25,0.438153|0|1|0
0.240877,0.25,0.438153;0.21289,-0.25,0.452414;0.240877,-0.25,0.438153|0|1|0
0,-0.25,0;0.240877,-0.25,0.438153;0.21289,-0.25,0.452414|1|0|0
0,0.25,0;0.240877,0.25,0.438153;0.267913,0.25,0.422164|1|0|0
0.240877,0.25,0.438153;0.240877,-0.25,0.438153;0.267913,0.25,0.422164|0|1|0
0.267913,0.25,0.422164;0.240877,-0.25,0.438153;0.267913,-0.25,0.422164|0|1|0
0,-0.25,0;0.267913,-0.25,0.422164;0.240877,-0.25,0.438153|1|0|0
0,0.25,0;0.267913,0.25,0.422164;0.293893,0.25,0.404509|1|0|0
0.267913,0.25,0.422164;0.267913,-0.25,0.422164;0.293893,0.25,0.404509|0|1|0
0.293893,0.25,0.404509;0.267913,-0.25,0.422164;0.293893,-0.25,0.404509|0|1|0
0,-0.25,0;0.293893,-0.25,0.404509;0.267913,-0.25,0.422164|1|0|0
0,0.25,0;0.293893,0.25,0.404509;0.318712,0.25,0.385257|1|0|0
0.293893,0.25,0.404509;0.293893,-0.25,0.404509;0.318712,0.25,0.385257|0|1|0
0.318712,0.25,0.385257;0.293893,-0.25,0.404509;0.318712,-0.25,0.385257|0|1|0
0,-0.25,0;0.318712,-0.25,0.385257;0.293893,-0.25,0.404509|1|0|0
0,0.25,0;0.318712,0.25,0.385257;0.342274,0.25,0.364484|1|0|0
0.318712,0.25,0.385257;0.318712,-0.25,0.385257;0.342274,0.25,0.364484|0|1|0
0.342274,0.25,0.364484;0.318712,-0.25,0.385257;0.342274,-0.25,0.364484|0|1|0
0,-0.25,0;0.342274,-0.25,0.364484;0.318712,-0.25,0.385257|1|0|0
0,0.25,0;0.342274,0.25,0.364484;0.364484,0.25,0.342274|1|0|0
0.342274,0.25,0.364484;0.342274,-0.25,0.364484;0.364484,0.25,0.342274|0|1|0
0.364484,0.25,0.342274;0.342274,-0.25,0.364484;0.364484,-0.25,0.342274|0|1|0
0,-0.25,0;0.364484,-0.25,0.342274;0.342274,-0.25,0.364484|1|0|0
0,0.25,0;0.364484,0.25,0.342274;0.385257,0.25,0.318712|1|0|0
0.364484,0.25,0.342274;0.364484,-0.25,0.342274;0.385257,0.25,0.318712|0|1|0
0.385257,0.25,0.318712;0.364484,-0.25,0.342274;0.385257,-0.25,0.318712|0|1|0
0,-0.25,0;0.385257,-0.25,0.318712;0.364484,-0.25,0.342274|1|0|0
0,0.25,0;0.385257,0.25,0.318712;0.404509,0.25,0.293893|1|0|0
0.385257,0.25,0.318712;0.385257,-0.25,0.318712;0.404509,0.25,0.293893|0|1|0
0.404509,0.25,0.293893;0.385257,-0.25,0.318712;0.404509,-0.25,0.293893|0|1|0
0,-0.25,0;0.404509,-0.25,0.293893;0.385257,-0.25,0.318712|1|0|0
0,0.25,0;0.404509,0.25,0.293893;0.422164,0.25,0.267913|1|0|0
0.404509,0.25,0.293893;0.404509,-0.25,0.293893;0.422164,0.25,0.267913|0|1|0
0.422164,0.25,0.267913;0.404509,-0.25,0.293893;0.422164,-0.25,0.267913|0|1|0
0,-0.25,0;0.422164,-0.25,0.267913;0.404509,-0.25,0.293893|1|0|0
0,0.25,0;0.422164,0.25,0.267913;0.438153,0.25,0.240877|1|0|0
0.422164,0.25,0.267913;0.422164,-0.25,0.267913;0.438153,0.25,0.240877|0|1|0
0.438153,0.25,0.240877;0.422164,-0.25,0.267913;0.438153,-0.25,0.240877|0|1|0
0,-0.25,0;0.438153,-0.25,0.240877;0.422164,-0.25,0.267913|1|0|0
0,0.25,0;0.438153,0.25,0.240877;0.452414,0.25,0.21289|1|0|0
0.438153,0.25,0.240877;0.438153,-0.25,0.240877;0.452414,0.25,0.21289|0|1|0
0.452414,0.25,0.21289;0.438153,-0.25,0.240877;0.452414,-0.25,0.21289|0|1|0
0,-0.25,0;0.452414,-0.25,0.21289;0.438153,-0.25,0.240877|1|0|0
0,0.25,0;0.452414,0.25,0.21289;0.464888,0.25,0.184062|1|0|0
0.452414,0.25,0.21289;0.452414,-0.25,0.21289;0.464888,0.25,0.184062|0|1|0
0.464888,0.25,0.184062;0.452414,-0.25,0.21289;0.464888,-0.25,0.184062|0|1|0
0,-0.25,0;0.464888,-0.25,0.184062;0.452414,-0.25,0.21289|1|0|0
0,0.25,0;0.464888,0.25,0.184062;0.475528,0.25,0.154508|1|0|0
0.464888,0.25,0.184062;0.464888,-0.25,0.184062;0.475528,0.25,0.154508|0|1|0
0.475528,0.25,0.154508;0.464888,-0.25,0.184062;0.475528,-0.25,0.154508|0|1|0
0,-0.25,0;0.475528,-0.25,0.154508;0.464888,-0.25,0.184062|1|0|0
0,0.25,0;0.475528,0.25,0.154508;0.484292,0.25,0.124345|1|0|0
0.475528,0.25,0.154508;0.475528,-0.25,0.154508;0.484292,0.25,0.124345|0|1|0
0.484292,0.25,0.124345;0.475528,-0.25,0.154508;0.484292,-0.25,0.124345|0|1|0
0,-0.25,0;0.484292,-0.25,0.124345;0.475528,-0.25,0.154508|1|0|0
0,0.25,0;0.484292,0.25,0.124345;0.491144,0.25,0.0936906|1|0|0
0.484292,0.25,0.124345;0.484292,-0.25,0.124345;0.491144,0.25,0.0936906|0|1|0
0.491144,0.25,0.0936906;0.484292,-0.25,0.124345;0.491144,-0.25,0.0936906|0|1|0
0,-0.25,0;0.491144,-0.25,0.0936906;0.484292,-0.25,0.124345|1|0|0
0,0.25,0;0.491144,0.25,0.0936906;0.496057,0.25,0.0626666|1|0|0
0.491144,0.25,0.0936906;0.491144,-0.25,0.0936906;0.496057,0.25,0.0626666|0|1|0
0.496057,0.25,0.0626666;0.491144,-0.25,0.0936906;0.496057,-0.25,0.0626666|0|1|0
0,-0.25,0;0.496057,-0.25,0.0626666;0.491144,-0.25,0.0936906|1|0|0
0,0.25,0;0.496057,0.25,0.0626666;0.499013,0.25,0.0313952|1|0|0
0.496057,0.25,0.0626666;0.496057,-0.25,0.0626666;0.499013,0.25,0.0313952|0|1|0
0.499013,0.25,0.0313952;0.496057,-0.25,0.0626666;0.499013,-0.25,0.0313952|0|1|0
0,-0.25,0;0.499013,-0.25,0.0313952;0.496057,-0.25,0.0626666|1|0|0
0,0.25,0;0.499013,0.25,0.0313952;0.5,0.25,-2.18557e-008|1|0|0
0.499013,0.25,0.0313952;0.499013,-0.25,0.0313952;0.5,0.25,-2.18557e-008|0|1|0
0.5,0.25,-2.18557e-008;0.499013,-0.25,0.0313952;0.5,-0.25,-2.18557e-008|0|1|0
0,-0.25,0;0.5,-0.25,-2.18557e-008;0.499013,-0.25,0.0313952|1|0|0
0,0.25,0;0.5,0.25,-2.18557e-008;0.499013,0.25,-0.0313953|1|0|0
0.5,0.25,-2.18557e-008;0.5,-0.25,-2.18557e-008;0.499013,0.25,-0.0313953|0|1|0
0.499013,0.25,-0.0313953;0.5,-0.25,-2.18557e-008;0.499013,-0.25,-0.0313953|0|1|0
0,-0.25,0;0.499013,-0.25,-0.0313953;0.5,-0.25,-2.18557e-008|1|0|0
0,0.25,0;0.499013,0.25,-0.0313953;0.496057,0.25,-0.0626667|1|0|0
0.499013,0.25,-0.0313953;0.499013,-0.25,-0.0313953;0.496057,0.25,-0.0626667|0|1|0
0.496057,0.25,-0.0626667;0.499013,-0.25,-0.0313953;0.496057,-0.25,-0.0626667|0|1|0
0,-0.25,0;0.496057,-0.25,-0.0626667;0.499013,-0.25,-0.0313953|1|0|0
0,0.25,0;0.496057,0.25,-0.0626667;0.491144,0.25,-0.0936907|1|0|0
0.496057,0.25,-0.0626667;0.496057,-0.25,-0.0626667;0.491144,0.25,-0.0936907|0|1|0
0.491144,0.25,-0.0936907;0.496057,-0.25,-0.0626667;0.491144,-0.25,-0.0936907|0|1|0
0,-0.25,0;0.491144,-0.25,-0.0936907;0.496057,-0.25,-0.0626667|1|0|0
0,0.25,0;0.491144,0.25,-0.0936907;0.484292,0.25,-0.124345|1|0|0
0.491144,0.25,-0.0936907;0.491144,-0.25,-0.0936907;0.484292,0.25,-0.124345|0|1|0
0.484292,0.25,-0.124345;0.491144,-0.25,-0.0936907;0.484292,-0.25,-0.124345|0|1|0
0,-0.25,0;0.484292,-0.25,-0.124345;0.491144,-0.25,-0.0936907|1|0|0
0,0.25,0;0.484292,0.25,-0.124345;0.475528,0.25,-0.154509|1|0|0
0.484292,0.25,-0.124345;0.484292,-0.25,-0.124345;0.475528,0.25,-0.154509|0|1|0
0.475528,0.25,-0.154509;0.484292,-0.25,-0.124345;0.475528,-0.25,-0.154509|0|1|0
0,-0.25,0;0.475528,-0.25,-0.154509;0.484292,-0.25,-0.124345|1|0|0
0,0.25,0;0.475528,0.25,-0.154509;0.464888,0.25,-0.184062|1|0|0
0.475528,0.25,-0.154509;0.475528,-0.25,-0.154509;0.464888,0.25,-0.184062|0|1|0
0.464888,0.25,-0.184062;0.475528,-0.25,-0.154509;0.464888,-0.25,-0.184062|0|1|0
0,-0.25,0;0.464888,-0.25,-0.184062;0.475528,-0.25,-0.154509|1|0|0
0,0.25,0;0.464888,0.25,-0.184062;0.452413,0.25,-0.21289|1|0|0
0.464888,0.25,-0.184062;0.464888,-0.25,-0.184062;0.452413,0.25,-0.21289|0|1|0
0.452413,0.25,-0.21289;0.464888,-0.25,-0.184062;0.452413,-0.25,-0.21289|0|1|0
0,-0.25,0;0.452413,-0.25,-0.21289;0.464888,-0.25,-0.184062|1|0|0
0,0.25,0;0.452413,0.25,-0.21289;0.438153,0.25,-0.240877|1|0|0
0.452413,0.25,-0.21289;0.452413,-0.25,-0.21289;0.438153,0.25,-0.240877|0|1|0
0.438153,0.25,-0.240877;0.452413,-0.25,-0.21289;0.438153,-0.25,-0.240877|0|1|0
0,-0.25,0;0.438153,-0.25,-0.240877;0.452413,-0.25,-0.21289|1|0|0
0,0.25,0;0.438153,0.25,-0.240877;0.422164,0.25,-0.267913|1|0|0
0.438153,0.25,-0.240877;0.438153,-0.25,-0.240877;0.422164,0.25,-0.267913|0|1|0
0.422164,0.25,-0.267913;0.438153,-0.25,-0.240877;0.422164,-0.25,-0.267913|0|1|0
0,-0.25,0;0.422164,-0.25,-0.267913;0.438153,-0.25,-0.240877|1|0|0
0,0.25,0;0.422164,0.25,-0.267913;0.404508,0.25,-0.293893|1|0|0
0.422164,0.25,-0.267913;0.422164,-0.25,-0.267913;0.404508,0.25,-0.293893|0|1|0
0.404508,0.25,-0.293893;0.422164,-0.25,-0.267913;0.404508,-0.25,-0.293893|0|1|0
0,-0.25,0;0.404508,-0.25,-0.293893;0.422164,-0.25,-0.267913|1|0|0
0,0.25,0;0.404508,0.25,-0.293893;0.385257,0.25,-0.318712|1|0|0
0.404508,0.25,-0.293893;0.404508,-0.25,-0.293893;0.385257,0.25,-0.318712|0|1|0
0.385257,0.25,-0.318712;0.404508,-0.25,-0.293893;0.385257,-0.25,-0.318712|0|1|0
0,-0.25,0;0.385257,-0.25,-0.318712;0.404508,-0.25,-0.293893|1|0|0
0,0.25,0;0.385257,0.25,-0.318712;0.364484,0.25,-0.342274|1|0|0
